date,station_id,station_name,daily_mean_aqi,daily_max_aqi,daily_min_aqi,daily_mean_pm25,daily_max_pm25,daily_min_pm25,daily_mean_pm10,aqi_category,primary_pollutant,data_source,data_quality
2026-06-03,BLR_ST01,Silk Board Junction,140,189,98,71.7,104.0,46.6,129.8,Moderate,PM2.5,DEMO,SIMULATED
2026-06-03,BLR_ST02,BTM Layout CAAQMS,90,122,63,47.3,68.6,30.7,89.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST03,Peenya Industrial Area,195,263,136,88.5,128.3,57.5,169.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-03,BLR_ST04,Hebbal CAAQMS,144,194,101,73.1,106.0,47.5,140.9,Moderate,PM2.5,DEMO,SIMULATED
2026-06-03,BLR_ST05,Whitefield Export Promotion Industrial Park,108,146,76,56.8,82.4,36.9,110.8,Moderate,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST06,Indiranagar 100ft Road,82,111,57,43.1,62.5,28.0,81.4,Satisfactory,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST07,Jayanagar 4th Block,67,90,47,34.8,50.5,22.6,66.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST08,City Railway Station / Majestic,153,207,107,75.8,109.9,49.3,141.6,Moderate,PM2.5,DEMO,SIMULATED
2026-06-03,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),78,105,55,41.0,59.4,26.7,77.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),113,153,79,62.4,90.5,40.6,117.8,Moderate,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),67,90,47,35.6,51.6,23.1,66.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST12,Yelahanka New Town,70,94,49,36.8,53.4,23.9,69.0,Satisfactory,PM10,DEMO,SIMULATED
