timestamp,station_id,station_name,latitude,longitude,pm2_5,pm10,no2,so2,co,o3,nh3,aqi,aqi_category,primary_pollutant,data_source,data_quality
2026-08-25 09:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,98.0,186.2,64.1,11.8,2.22,30.2,24.8,227,Poor,PM2.5,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,57.2,113.6,39.2,7.6,1.22,32.0,17.6,110,Moderate,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,102.1,205.3,70.7,21.4,2.45,23.8,36.3,241,Poor,PM2.5,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,76.2,154.3,53.6,9.3,1.79,30.3,19.8,154,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,77.9,159.7,51.6,10.7,1.7,36.3,21.4,160,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,56.0,111.0,41.7,7.8,1.26,41.8,17.6,108,Moderate,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,49.8,99.1,35.7,6.7,1.16,47.0,15.6,99,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,82.5,161.7,60.7,11.9,2.11,25.2,23.9,175,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,50.2,99.8,34.6,6.7,1.06,38.7,15.9,100,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,78.2,154.9,54.4,9.5,1.83,27.2,20.8,161,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,40.1,78.3,28.0,5.2,0.89,44.0,12.3,79,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,48.7,95.8,33.8,6.0,1.08,41.5,15.0,96,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,63.8,127.0,42.8,8.1,1.34,33.7,17.2,119,Moderate,PM10,DEMO,SIMULATED
2026-08-25 09:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,77.6,155.9,54.6,10.3,1.78,29.2,20.7,159,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,93.6,177.8,61.2,11.8,2.12,32.4,24.8,213,Poor,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,60.8,120.7,41.7,8.5,1.3,38.2,19.7,115,Moderate,PM10,DEMO,SIMULATED
