month,station_id,station_name,season,monthly_mean_aqi,monthly_mean_pm25,monthly_mean_pm10,good_days,moderate_days,unhealthy_days,aqi_category,primary_pollutant,data_source,data_quality
2023-01,BLR_ST01,Silk Board Junction,Winter,267,110.0,202.9,5,15,10,Poor,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST02,BTM Layout CAAQMS,Winter,127,67.3,138.9,17,17,0,Moderate,PM10,DEMO,SIMULATED
2023-01,BLR_ST03,Peenya Industrial Area,Winter,302,121.9,243.0,1,15,14,Very Poor,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST04,Hebbal CAAQMS,Winter,221,96.2,186.0,7,16,7,Poor,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST05,Whitefield Export Promotion Industrial Park,Winter,156,76.7,167.6,13,16,1,Moderate,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST06,Indiranagar 100ft Road,Winter,114,63.6,119.9,19,18,0,Moderate,PM10,DEMO,SIMULATED
2023-01,BLR_ST07,Jayanagar 4th Block,Winter,99,49.0,99.3,20,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-01,BLR_ST08,City Railway Station / Majestic,Winter,238,101.3,193.7,5,18,7,Poor,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Winter,102,58.7,102.1,20,13,0,Moderate,PM10,DEMO,SIMULATED
2023-01,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Winter,245,103.3,168.6,4,17,9,Poor,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Winter,86,47.4,86.0,22,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-01,BLR_ST12,Yelahanka New Town,Winter,95,54.5,95.3,22,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-01,BLR_ST13,Electronic City Phase 1,Winter,151,75.2,144.5,13,12,5,Moderate,PM2.5,DEMO,SIMULATED
2023-01,BLR_ST14,Mysore Road / Nayandahalli,Winter,189,86.7,170.5,9,18,3,Moderate,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST01,Silk Board Junction,Winter,278,113.3,195.2,2,15,13,Poor,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST02,BTM Layout CAAQMS,Winter,146,73.5,133.9,13,18,0,Moderate,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST03,Peenya Industrial Area,Winter,303,122.7,228.4,1,16,13,Very Poor,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST04,Hebbal CAAQMS,Winter,178,83.4,172.9,13,16,1,Moderate,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST05,Whitefield Export Promotion Industrial Park,Winter,177,83.1,150.8,11,13,6,Moderate,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST06,Indiranagar 100ft Road,Winter,108,61.6,110.3,19,13,0,Moderate,PM10,DEMO,SIMULATED
2023-02,BLR_ST07,Jayanagar 4th Block,Winter,99,55.0,99.0,21,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-02,BLR_ST08,City Railway Station / Majestic,Winter,251,105.1,200.9,2,12,16,Poor,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Winter,105,58.2,106.4,21,16,0,Moderate,PM10,DEMO,SIMULATED
2023-02,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Winter,207,91.9,167.6,9,15,6,Poor,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Winter,94,50.4,94.0,21,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-02,BLR_ST12,Yelahanka New Town,Winter,98,54.3,97.7,22,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-02,BLR_ST13,Electronic City Phase 1,Winter,173,81.7,148.8,14,15,1,Moderate,PM2.5,DEMO,SIMULATED
2023-02,BLR_ST14,Mysore Road / Nayandahalli,Winter,206,91.6,169.8,8,14,8,Poor,PM2.5,DEMO,SIMULATED
2023-03,BLR_ST01,Silk Board Junction,Summer,176,82.6,159.8,11,18,1,Moderate,PM2.5,DEMO,SIMULATED
2023-03,BLR_ST02,BTM Layout CAAQMS,Summer,95,54.9,95.2,18,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-03,BLR_ST03,Peenya Industrial Area,Summer,217,94.9,184.7,9,18,3,Poor,PM2.5,DEMO,SIMULATED
2023-03,BLR_ST04,Hebbal CAAQMS,Summer,124,65.3,135.2,18,17,0,Moderate,PM10,DEMO,SIMULATED
2023-03,BLR_ST05,Whitefield Export Promotion Industrial Park,Summer,126,67.5,116.9,16,12,2,Moderate,PM2.5,DEMO,SIMULATED
2023-03,BLR_ST06,Indiranagar 100ft Road,Summer,86,46.4,85.8,19,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-03,BLR_ST07,Jayanagar 4th Block,Summer,80,37.1,79.2,24,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-03,BLR_ST08,City Railway Station / Majestic,Summer,162,78.6,138.8,13,15,2,Moderate,PM2.5,DEMO,SIMULATED
2023-03,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Summer,85,43.3,85.2,22,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-03,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Summer,130,68.8,144.6,19,12,0,Moderate,PM2.5,DEMO,SIMULATED
2023-03,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Summer,70,37.6,69.5,25,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-03,BLR_ST12,Yelahanka New Town,Summer,74,43.3,73.4,24,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-03,BLR_ST13,Electronic City Phase 1,Summer,113,58.9,118.9,20,12,0,Moderate,PM10,DEMO,SIMULATED
2023-03,BLR_ST14,Mysore Road / Nayandahalli,Summer,131,68.9,145.8,17,15,0,Moderate,PM10,DEMO,SIMULATED
2023-04,BLR_ST01,Silk Board Junction,Summer,189,86.7,137.9,10,16,4,Moderate,PM2.5,DEMO,SIMULATED
2023-04,BLR_ST02,BTM Layout CAAQMS,Summer,106,52.2,107.4,21,14,0,Moderate,PM10,DEMO,SIMULATED
2023-04,BLR_ST03,Peenya Industrial Area,Summer,231,99.2,166.8,6,12,12,Poor,PM2.5,DEMO,SIMULATED
2023-04,BLR_ST04,Hebbal CAAQMS,Summer,135,70.3,135.6,14,12,4,Moderate,PM2.5,DEMO,SIMULATED
2023-04,BLR_ST05,Whitefield Export Promotion Industrial Park,Summer,119,59.2,127.4,20,16,0,Moderate,PM10,DEMO,SIMULATED
2023-04,BLR_ST06,Indiranagar 100ft Road,Summer,86,50.1,85.4,21,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-04,BLR_ST07,Jayanagar 4th Block,Summer,78,39.3,77.4,24,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-04,BLR_ST08,City Railway Station / Majestic,Summer,146,73.5,138.6,15,13,2,Moderate,PM2.5,DEMO,SIMULATED
2023-04,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Summer,86,41.4,85.8,23,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-04,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Summer,132,69.2,146.4,18,15,0,Moderate,PM10,DEMO,SIMULATED
2023-04,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Summer,64,37.6,63.6,21,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-04,BLR_ST12,Yelahanka New Town,Summer,82,39.3,81.6,22,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-04,BLR_ST13,Electronic City Phase 1,Summer,113,59.5,118.7,17,12,1,Moderate,PM10,DEMO,SIMULATED
2023-04,BLR_ST14,Mysore Road / Nayandahalli,Summer,130,68.9,127.1,16,14,0,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST01,Silk Board Junction,Summer,174,82.2,145.0,12,17,1,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST02,BTM Layout CAAQMS,Summer,104,55.3,104.4,19,18,0,Moderate,PM10,DEMO,SIMULATED
2023-05,BLR_ST03,Peenya Industrial Area,Summer,199,89.7,174.9,8,14,8,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST04,Hebbal CAAQMS,Summer,124,66.9,128.4,18,14,0,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST05,Whitefield Export Promotion Industrial Park,Summer,127,67.8,118.1,17,15,0,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST06,Indiranagar 100ft Road,Summer,86,46.4,86.2,21,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-05,BLR_ST07,Jayanagar 4th Block,Summer,72,40.2,71.7,24,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-05,BLR_ST08,City Railway Station / Majestic,Summer,173,81.9,153.4,11,16,3,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Summer,87,42.0,86.6,19,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-05,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Summer,132,69.5,129.9,18,17,0,Moderate,PM2.5,DEMO,SIMULATED
2023-05,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Summer,70,34.0,69.1,24,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-05,BLR_ST12,Yelahanka New Town,Summer,84,42.6,83.9,23,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-05,BLR_ST13,Electronic City Phase 1,Summer,117,61.3,124.7,19,17,0,Moderate,PM10,DEMO,SIMULATED
2023-05,BLR_ST14,Mysore Road / Nayandahalli,Summer,149,74.5,133.6,14,18,0,Moderate,PM2.5,DEMO,SIMULATED
2023-06,BLR_ST01,Silk Board Junction,Monsoon,102,54.1,102.1,18,15,0,Moderate,PM10,DEMO,SIMULATED
2023-06,BLR_ST02,BTM Layout CAAQMS,Monsoon,63,35.4,62.5,23,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST03,Peenya Industrial Area,Monsoon,107,55.2,109.8,21,17,0,Moderate,PM10,DEMO,SIMULATED
2023-06,BLR_ST04,Hebbal CAAQMS,Monsoon,87,42.7,87.2,22,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST05,Whitefield Export Promotion Industrial Park,Monsoon,87,39.5,87.1,20,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST06,Indiranagar 100ft Road,Monsoon,62,31.4,61.1,21,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST07,Jayanagar 4th Block,Monsoon,47,26.9,46.9,25,14,0,Good,PM10,DEMO,SIMULATED
2023-06,BLR_ST08,City Railway Station / Majestic,Monsoon,97,48.2,96.5,22,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Monsoon,55,27.9,53.8,25,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Monsoon,93,44.7,93.3,18,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Monsoon,45,25.6,45.1,25,18,0,Good,PM10,DEMO,SIMULATED
2023-06,BLR_ST12,Yelahanka New Town,Monsoon,53,28.3,51.6,26,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST13,Electronic City Phase 1,Monsoon,74,38.7,73.3,24,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-06,BLR_ST14,Mysore Road / Nayandahalli,Monsoon,83,49.2,82.4,21,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST01,Silk Board Junction,Monsoon,96,57.4,92.3,21,14,0,Satisfactory,PM2.5,DEMO,SIMULATED
2023-07,BLR_ST02,BTM Layout CAAQMS,Monsoon,66,37.2,65.3,24,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST03,Peenya Industrial Area,Monsoon,115,55.1,121.6,19,13,0,Moderate,PM10,DEMO,SIMULATED
2023-07,BLR_ST04,Hebbal CAAQMS,Monsoon,87,43.2,87.2,21,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST05,Whitefield Export Promotion Industrial Park,Monsoon,77,39.3,76.8,24,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST06,Indiranagar 100ft Road,Monsoon,59,31.8,58.6,25,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST07,Jayanagar 4th Block,Monsoon,46,25.1,45.9,26,15,0,Good,PM10,DEMO,SIMULATED
2023-07,BLR_ST08,City Railway Station / Majestic,Monsoon,89,48.0,88.9,22,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Monsoon,52,27.4,50.8,26,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Monsoon,91,45.5,91.3,22,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Monsoon,45,22.1,42.5,24,16,0,Good,O3,DEMO,SIMULATED
2023-07,BLR_ST12,Yelahanka New Town,Monsoon,53,29.2,51.8,26,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST13,Electronic City Phase 1,Monsoon,78,36.4,77.4,22,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-07,BLR_ST14,Mysore Road / Nayandahalli,Monsoon,90,44.1,89.9,22,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST01,Silk Board Junction,Monsoon,92,53.2,92.2,21,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST02,BTM Layout CAAQMS,Monsoon,68,33.3,67.8,22,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST03,Peenya Industrial Area,Monsoon,108,61.4,110.3,19,15,0,Moderate,PM10,DEMO,SIMULATED
2023-08,BLR_ST04,Hebbal CAAQMS,Monsoon,81,45.8,81.0,22,15,0,Satisfactory,PM10,DEMO,SIMULATED
